	feature_id	axis	embed_type	values
0	Propionibacteriaceae	0	microbe	-0.681652307510376
1	Staphylococcus caprae or capitis	0	microbe	-1.032043218612671
2	Staphylococcus epidermidis	0	microbe	-0.24030575156211853
3	Staphylococcus hominis	0	microbe	-0.44309043884277344
4	Other Staphylococci	0	microbe	-0.7643357515335083
5	Propionibacteriaceae	1	microbe	1.1011321544647217
6	Staphylococcus caprae or capitis	1	microbe	0.803412914276123
7	Staphylococcus epidermidis	1	microbe	0.3582295775413513
8	Staphylococcus hominis	1	microbe	1.2130473852157593
9	Other Staphylococci	1	microbe	0.8957089185714722
10	Propionibacteriaceae	2	microbe	0.6440698504447937
11	Staphylococcus caprae or capitis	2	microbe	0.4501610994338989
12	Staphylococcus epidermidis	2	microbe	1.042607307434082
13	Staphylococcus hominis	2	microbe	0.7821276187896729
14	Other Staphylococci	2	microbe	0.5941568613052368
0	X940001	0	metabolite	0.0
1	X940002	0	metabolite	0.3238047659397125
2	X940005	0	metabolite	-7.689523044973612e-07
3	X940007	0	metabolite	-0.33808183670043945
4	X940010	0	metabolite	-0.6522200703620911
5	X940013	0	metabolite	-0.4355499744415283
6	X940014	0	metabolite	-0.8190813660621643
7	X940015	0	metabolite	0.5221045613288879
8	X940019	0	metabolite	-0.3276773691177368
9	X940021	0	metabolite	-0.01883421465754509
10	X940022	0	metabolite	0.27441853284835815
11	X940024	0	metabolite	-0.38708242774009705
12	X940025	0	metabolite	-0.35740071535110474
13	X940026	0	metabolite	0.13714967668056488
14	X940027	0	metabolite	0.23595966398715973
15	X940028	0	metabolite	0.24037110805511475
16	X940029	0	metabolite	0.0035944466944783926
17	X940031	0	metabolite	-0.4695000648498535
18	X940032	0	metabolite	-0.6661909818649292
19	X940034	0	metabolite	-0.2823227047920227
20	X940040	0	metabolite	-0.7629479169845581
21	X940043	0	metabolite	-0.45252183079719543
22	X940045	0	metabolite	-0.17901059985160828
23	X940047	0	metabolite	0.3489367365837097
24	X940048	0	metabolite	1.0761622190475464
25	X940049	0	metabolite	-0.25476497411727905
26	X940050	0	metabolite	0.7352920174598694
27	X940053	0	metabolite	0.45284318923950195
28	X940054	0	metabolite	-0.03270750865340233
29	X940055	0	metabolite	0.9918686151504517
30	X940056	0	metabolite	0.012551543302834034
31	X940058	0	metabolite	0.16734270751476288
32	X940059	0	metabolite	-0.30183154344558716
33	X940062	0	metabolite	0.7623631954193115
34	X940069	0	metabolite	-0.35789936780929565
35	X940071	0	metabolite	-0.37356138229370117
36	X940072	0	metabolite	0.17958372831344604
37	X940073	0	metabolite	-0.3490069508552551
38	X940074	0	metabolite	0.11821556836366653
39	X940079	0	metabolite	-0.9742354154586792
40	X940080	0	metabolite	-0.3233950436115265
41	X940082	0	metabolite	-0.36593231558799744
42	X940084	0	metabolite	-0.17775186896324158
43	X940086	0	metabolite	0.11489131301641464
44	X940089	0	metabolite	0.523612380027771
45	X940091	0	metabolite	1.9940658807754517
46	X940092	0	metabolite	-0.27224862575531006
47	X940093	0	metabolite	-0.23883968591690063
48	X940094	0	metabolite	1.624699354171753
49	X940097	0	metabolite	0.15896056592464447
50	X940102	0	metabolite	-0.04240407794713974
51	X940104	0	metabolite	0.2072739601135254
52	X940108	0	metabolite	-0.18982848525047302
