	feature_id	axis	embed_type	values
0	Propionibacteriaceae	0	microbe	-0.4852360486984253
1	Staphylococcus caprae or capitis	0	microbe	0.6600646376609802
2	Staphylococcus epidermidis	0	microbe	-0.09289123117923737
3	Staphylococcus hominis	0	microbe	-0.5933441519737244
4	Other Staphylococci	0	microbe	-0.3752502202987671
5	Polyomavirus HPyV6	0	microbe	0.2226090431213379
6	Polyomavirus HPyV7	0	microbe	-0.7833413481712341
7	Merkel Cell Polyomavirus	0	microbe	-0.7319105863571167
8	Malasseziaceae	0	microbe	0.03716759383678436
9	Corynebacteriaceae	0	microbe	-0.4367082715034485
10	Micrococcaceae	0	microbe	-0.6307207345962524
11	Other families	0	microbe	-0.3801634609699249
12	Propionibacteriaceae	1	microbe	0.4295714795589447
13	Staphylococcus caprae or capitis	1	microbe	0.8998587131500244
14	Staphylococcus epidermidis	1	microbe	0.4128730893135071
15	Staphylococcus hominis	1	microbe	0.026008576154708862
16	Other Staphylococci	1	microbe	0.34582704305648804
17	Polyomavirus HPyV6	1	microbe	-0.23528213798999786
18	Polyomavirus HPyV7	1	microbe	-0.22015658020973206
19	Merkel Cell Polyomavirus	1	microbe	-0.02914075180888176
20	Malasseziaceae	1	microbe	0.7636381983757019
21	Corynebacteriaceae	1	microbe	0.3185921609401703
22	Micrococcaceae	1	microbe	0.047833092510700226
23	Other families	1	microbe	0.31672218441963196
24	Propionibacteriaceae	2	microbe	0.80963134765625
25	Staphylococcus caprae or capitis	2	microbe	0.5261719822883606
26	Staphylococcus epidermidis	2	microbe	-0.03434222936630249
27	Staphylococcus hominis	2	microbe	1.2313215732574463
28	Other Staphylococci	2	microbe	0.6691102385520935
29	Polyomavirus HPyV6	2	microbe	0.13683746755123138
30	Polyomavirus HPyV7	2	microbe	-0.11231756955385208
31	Merkel Cell Polyomavirus	2	microbe	0.09922327101230621
32	Malasseziaceae	2	microbe	0.9241269826889038
33	Corynebacteriaceae	2	microbe	0.5837715268135071
34	Micrococcaceae	2	microbe	0.18883676826953888
35	Other families	2	microbe	0.11990362405776978
0	X940001	0	metabolite	0.0
1	X940002	0	metabolite	-0.06290753185749054
2	X940005	0	metabolite	0.27322331070899963
3	X940007	0	metabolite	-0.026281002908945084
4	X940010	0	metabolite	-0.700619637966156
5	X940013	0	metabolite	-0.025387324392795563
6	X940014	0	metabolite	-0.6028232574462891
7	X940015	0	metabolite	-0.5257482528686523
8	X940019	0	metabolite	-0.14482757449150085
9	X940021	0	metabolite	0.4425516426563263
10	X940022	0	metabolite	-0.4215052127838135
11	X940024	0	metabolite	0.22817975282669067
12	X940025	0	metabolite	0.02335417829453945
13	X940026	0	metabolite	0.6029726266860962
14	X940027	0	metabolite	0.02775276079773903
15	X940028	0	metabolite	0.03644911199808121
16	X940029	0	metabolite	-0.2990260422229767
17	X940031	0	metabolite	0.1065983921289444
18	X940032	0	metabolite	0.010010046884417534
19	X940034	0	metabolite	0.11359947919845581
20	X940040	0	metabolite	0.15697427093982697
21	X940043	0	metabolite	-0.08090530335903168
22	X940045	0	metabolite	0.7939620018005371
23	X940047	0	metabolite	0.3464764952659607
24	X940048	0	metabolite	-0.04502531886100769
25	X940049	0	metabolite	-0.0802062451839447
26	X940050	0	metabolite	-0.4007469713687897
27	X940053	0	metabolite	-0.18533731997013092
28	X940054	0	metabolite	0.017229054123163223
29	X940055	0	metabolite	-0.6398504972457886
30	X940056	0	metabolite	-0.5104194283485413
31	X940058	0	metabolite	0.00780364079400897
32	X940059	0	metabolite	0.004446453880518675
33	X940062	0	metabolite	-0.48732462525367737
34	X940069	0	metabolite	-0.10283008217811584
35	X940071	0	metabolite	-1.050046682357788
36	X940072	0	metabolite	-0.06787356734275818
37	X940073	0	metabolite	-0.6308046579360962
38	X940074	0	metabolite	0.17320190370082855
39	X940079	0	metabolite	-0.1948617696762085
40	X940080	0	metabolite	0.055001430213451385
41	X940082	0	metabolite	-0.2289508432149887
42	X940084	0	metabolite	-0.7477285861968994
43	X940086	0	metabolite	0.43257269263267517
44	X940089	0	metabolite	-0.08069655299186707
45	X940091	0	metabolite	0.9056828618049622
46	X940092	0	metabolite	-0.610194206237793
47	X940093	0	metabolite	-0.15584762394428253
48	X940094	0	metabolite	-1.9218231439590454
49	X940097	0	metabolite	-0.07500779628753662
50	X940102	0	metabolite	0.2242957502603531
51	X940104	0	metabolite	-0.22876952588558197
52	X940108	0	metabolite	-0.11713262647390366
53	X940110	0	metabolite	-0.6685706377029419
54	X940112	0	metabolite	-0.9514402747154236
55	X940115	0	metabolite	-0.7311163544654846
56	X940120	0	metabolite	0.395349383354187
57	X940121	0	metabolite	-0.758354127407074
58	X940126	0	metabolite	-0.1388910859823227
59	X940127	0	metabolite	-0.220817431807518
