	feature_id	axis	embed_type	values
0	Propionibacteriaceae	0	microbe	-0.5151909589767456
1	Staphylococcus caprae or capitis	0	microbe	-0.7275587916374207
2	Staphylococcus epidermidis	0	microbe	-1.0733613967895508
3	Staphylococcus hominis	0	microbe	-0.6566634774208069
4	Other Staphylococci	0	microbe	-0.6822068691253662
5	Polyomavirus HPyV6	0	microbe	-0.5894168615341187
6	Polyomavirus HPyV7	0	microbe	-0.5372591614723206
7	Merkel Cell Polyomavirus	0	microbe	-0.7137061357498169
8	Malasseziaceae	0	microbe	-0.44170790910720825
9	Corynebacteriaceae	0	microbe	-0.8313985466957092
10	Micrococcaceae	0	microbe	-0.7269518971443176
11	Other families	0	microbe	-0.6666809916496277
12	Propionibacteriaceae	1	microbe	0.7815080285072327
13	Staphylococcus caprae or capitis	1	microbe	0.19181029498577118
14	Staphylococcus epidermidis	1	microbe	-0.01901422254741192
15	Staphylococcus hominis	1	microbe	-0.0501040555536747
16	Other Staphylococci	1	microbe	0.18510837852954865
17	Polyomavirus HPyV6	1	microbe	0.17147473990917206
18	Polyomavirus HPyV7	1	microbe	0.22252212464809418
19	Merkel Cell Polyomavirus	1	microbe	0.13771751523017883
20	Malasseziaceae	1	microbe	0.6893585324287415
21	Corynebacteriaceae	1	microbe	-0.005719189997762442
22	Micrococcaceae	1	microbe	0.13887165486812592
23	Other families	1	microbe	0.2783588469028473
24	Propionibacteriaceae	2	microbe	-0.524364173412323
25	Staphylococcus caprae or capitis	2	microbe	-0.01410768274217844
26	Staphylococcus epidermidis	2	microbe	-0.47110483050346375
27	Staphylococcus hominis	2	microbe	0.5686792135238647
28	Other Staphylococci	2	microbe	-0.538585364818573
29	Polyomavirus HPyV6	2	microbe	0.46245503425598145
30	Polyomavirus HPyV7	2	microbe	-0.8460681438446045
31	Merkel Cell Polyomavirus	2	microbe	-0.9910246133804321
32	Malasseziaceae	2	microbe	-0.2692290246486664
33	Corynebacteriaceae	2	microbe	-0.14048874378204346
34	Micrococcaceae	2	microbe	0.10443553328514099
35	Other families	2	microbe	-0.5698413252830505
0	X940001	0	metabolite	0.0
1	X940002	0	metabolite	-0.05805511772632599
2	X940005	0	metabolite	0.49191853404045105
3	X940007	0	metabolite	0.2217312902212143
4	X940010	0	metabolite	-0.6588852405548096
5	X940013	0	metabolite	-0.8351930379867554
6	X940014	0	metabolite	-0.1658911108970642
7	X940015	0	metabolite	-0.6012431383132935
8	X940019	0	metabolite	1.828971028327942
9	X940021	0	metabolite	-1.7674490213394165
10	X940022	0	metabolite	-0.24513819813728333
11	X940024	0	metabolite	-0.791585385799408
12	X940025	0	metabolite	0.41810041666030884
13	X940026	0	metabolite	0.22223061323165894
14	X940027	0	metabolite	-0.7121270298957825
15	X940028	0	metabolite	-0.1865333616733551
16	X940029	0	metabolite	0.07799776643514633
17	X940031	0	metabolite	0.7489973306655884
18	X940032	0	metabolite	-0.21084526181221008
19	X940034	0	metabolite	-0.6047409772872925
20	X940040	0	metabolite	-1.6215487718582153
21	X940043	0	metabolite	-0.0260949544608593
22	X940045	0	metabolite	-0.1788567155599594
23	X940047	0	metabolite	0.1341029703617096
24	X940048	0	metabolite	-1.2950365543365479
25	X940049	0	metabolite	-0.7456068396568298
26	X940050	0	metabolite	2.2022602558135986
27	X940053	0	metabolite	-1.2198867797851562
28	X940054	0	metabolite	0.09454578161239624
29	X940055	0	metabolite	0.31817081570625305
30	X940056	0	metabolite	-0.9165549874305725
31	X940058	0	metabolite	-0.7340666651725769
32	X940059	0	metabolite	-2.529754400253296
33	X940062	0	metabolite	1.1361645460128784
34	X940069	0	metabolite	0.15361906588077545
35	X940071	0	metabolite	0.934920072555542
36	X940072	0	metabolite	-0.1660386025905609
37	X940073	0	metabolite	-2.2639851570129395
38	X940074	0	metabolite	0.3156023323535919
39	X940079	0	metabolite	-0.783262312412262
40	X940080	0	metabolite	-0.37224912643432617
41	X940082	0	metabolite	1.2970938682556152
42	X940084	0	metabolite	0.5603182911872864
43	X940086	0	metabolite	0.8104190230369568
44	X940089	0	metabolite	0.01730879582464695
45	X940091	0	metabolite	0.4141152501106262
46	X940092	0	metabolite	-0.45375922322273254
47	X940093	0	metabolite	-0.5205239057540894
48	X940094	0	metabolite	-0.44736218452453613
49	X940097	0	metabolite	0.20413054525852203
50	X940102	0	metabolite	0.12387165427207947
51	X940104	0	metabolite	0.28417491912841797
52	X940108	0	metabolite	-0.15581196546554565
53	X940110	0	metabolite	0.1398317813873291
54	X940112	0	metabolite	-0.4125795364379883
55	X940115	0	metabolite	-0.14532817900180817
56	X940120	0	metabolite	-1.5408260822296143
57	X940121	0	metabolite	2.7421319484710693
58	X940126	0	metabolite	0.3456319570541382
59	X940127	0	metabolite	0.5640361905097961
60	X940129	0	metabolite	-1.2626758813858032
61	X940130	0	metabolite	0.3330063819885254
62	X940133	0	metabolite	-0.23626068234443665
63	X940136	0	metabolite	0.5212241411209106
64	X940143	0	metabolite	-0.707348644733429
65	X940145	0	metabolite	-0.4031760096549988
66	X940147	0	metabolite	1.3292160034179688
67	X940148	0	metabolite	-0.34956708550453186
68	X940152	0	metabolite	-0.15153273940086365
69	X940154	0	metabolite	0.20858776569366455
70	X940156	0	metabolite	0.2839129865169525
71	X940158	0	metabolite	-0.2549205422401428
72	X940163	0	metabolite	-1.2951481342315674
73	X940168	0	metabolite	1.5198122262954712
74	X940174	0	metabolite	0.2830521762371063
75	X940176	0	metabolite	1.0034130811691284
76	X940178	0	metabolite	-0.4940849244594574
77	X940179	0	metabolite	-0.5001384019851685
78	X940182	0	metabolite	-1.3764094114303589
79	X940184	0	metabolite	-0.9877016544342041
80	X940185	0	metabolite	0.02775740996003151
81	X940186	0	metabolite	-0.0041921669617295265
82	X940189	0	metabolite	0.9888986349105835
83	X940193	0	metabolite	0.05997525155544281
84	X940203	0	metabolite	-0.01348413247615099
85	X940211	0	metabolite	-0.7123956680297852
86	X940213	0	metabolite	-0.21920084953308105
87	X940214	0	metabolite	0.5666587948799133
88	X940217	0	metabolite	0.16999635100364685
89	X940222	0	metabolite	0.4322289526462555
90	X940223	0	metabolite	-0.48009756207466125
91	X940227	0	metabolite	-0.8056017756462097
92	X940230	0	metabolite	-0.12702739238739014
93	X940232	0	metabolite	1.0197502374649048
94	X940233	0	metabolite	-1.7644679546356201
95	X940237	0	metabolite	-1.3269357681274414
96	X940239	0	metabolite	0.9057372212409973
97	X940244	0	metabolite	-0.25428059697151184
98	X940248	0	metabolite	0.23798762261867523
99	X940251	0	metabolite	0.24862760305404663
100	X940256	0	metabolite	0.27754896879196167
101	X940259	0	metabolite	-0.4137035012245178
102	X940261	0	metabolite	0.40323078632354736
103	X940264	0	metabolite	0.5286659002304077
104	X940270	0	metabolite	-0.6433522701263428
105	X940271	0	metabolite	-1.2230757474899292
106	X940278	0	metabolite	0.47801128029823303
107	X940281	0	metabolite	-3.0396101474761963
108	X940284	0	metabolite	0.515722930431366
109	X940286	0	metabolite	-0.13774512708187103
110	X940287	0	metabolite	-0.8414801359176636
111	X940288	0	metabolite	1.359702706336975
112	X940291	0	metabolite	-0.42108839750289917
113	X940297	0	metabolite	-2.052067756652832
114	X940301	0	metabolite	-1.0493782758712769
115	X940302	0	metabolite	-0.1470886617898941
116	X940303	0	metabolite	1.3760266304016113
117	X940305	0	metabolite	-0.07286471128463745
118	X940306	0	metabolite	0.12490321695804596
119	X940309	0	metabolite	-0.3325917422771454
120	X940312	0	metabolite	-0.045478612184524536
121	X940314	0	metabolite	-0.4347951114177704
122	X940322	0	metabolite	0.1714855432510376
123	X940324	0	metabolite	-1.0903133153915405
124	X940325	0	metabolite	-0.6017488241195679
125	X940329	0	metabolite	0.08017491549253464
126	X940332	0	metabolite	0.6434776186943054
127	X940335	0	metabolite	-0.7790725231170654
128	X940338	0	metabolite	-0.6190699338912964
129	X940339	0	metabolite	0.8661834597587585
130	X940347	0	metabolite	0.3044448792934418
131	X940349	0	metabolite	0.6069461703300476
