#OTU ID	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_1_JG	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_3_MX	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_7_NMC	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.1564122683128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus caprae or capitis	0.0	0.08999999999999998	0.054	0.0	0.0	3.3816	0.15000000000000005	0.1848	0.24600000000000005	2.9915999970084	0.0	0.17160000000000003	1.2995999999999999	2.232	0.0	0.0	2.6651999973348	0.0	0.0	0.7656000007656002	3.1355999999999993	63.437988000000004	0.1848	0.0	2.5787999999999998	1.3968	0.0	0.13799999999999998	171.46560000000005	0.23999999976000003	0.0	0.0	2.4024000024023997	0.0	19.579199999999997	0.12119999999999999	0.0	220.858752	9.898799990101201	1.8816000000000002	235.09080000000006	0.5652000005652	0.19319999980680005	9.380399990619601	12.403200012403197	7.681199999999998	0.0	23.0616000461232	0.020400000000000005	940.1423030598579	0.6000000000000001	0.9792000000000001	1.4820000014820003	0.0	1.5395999984603996
Staphylococcus epidermidis	0.2124	7.7315999999999985	0.1308	2.7167999972832	25.017600000000005	95.5908	16.156800000000004	0.8675999999999999	0.0	7.3847999926152	87.493212	0.0	7.7136000000000005	36.3336	13.328399999999997	16.275599999999997	0.92999999907	0.9384	0.0	4.731600004731601	7.599599999999998	9.996000000000002	3.636	2.3856	12.916799999999999	70.86720000000001	0.5363999999999999	0.5304	1050.1884000000005	11.7155999882844	0.0	0.1871999998128	71.15401207115401	24.893999975105995	2.5764	98.310012	55.48441205548441	15.7872	4.814399995185599	552.2507999999999	83.66040000000001	80.07122408007125	8.050799991949201	47.116799952883206	2.8128000028128	64.02839999999999	3.4452000000000007	484.30923696861845	0.15480000000000002	134.31118786568882	3.4308000000000005	2.4456000000000007	12.680400012680401	1.5228000000000004	36.7031999632968
Staphylococcus hominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.302	0.0	2.9208000000000007	0.0	0.0	0.0	0.0	1.7615999999999998	28.043999971955998	8.311200000000001	0.0	11.337600011337605	0.0	0.0	0.0	0.0	0.0	35.7192	0.0	0.0	28.25280000000001	380.9471636190528	0.0	335.48403566451594	288.48366028848375	0.0	0.0	0.0	64.99321206499322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2531.714657063429	0.0	0.0	0.0	0.0	0.0	0.0	3.0167999969832002
Other Staphylococci	0.042	139.17239999999998	7.8576	5.777999994222	21.354000000000006	3150.7188	1768.6030200000002	157.192812	2.0028	124.91157587508843	999.6074040000002	1.8696	6.243599999999998	15.493199999999995	2.0951999999999997	9960.220188	3959.804000040195	15.4116	492.12000000000006	12.711600012711603	66.49919999999999	41.738388	281.85006	12.655199999999999	0.43319999999999986	2742.0672	0.32279999999999986	7.590000000000001	9954.518400000003	2520.5253454794743	6.5712	324.9624356750375	30.711612030711613	5.733599994266401	164.06401200000002	14.913599999999999	1164.528229164528	41.02438800000001	487.50355151249636	440.8044	186.69120000000004	66.09002406609004	142.565987857434	8.713199991286801	64.18082406418083	778.1351999999998	0.8388	3429.2643548585283	0.0	28.654799971345206	60.903588	1129.9080000000004	846.6469688466472	1667.7239999999997	736.4230552635768
Polyomavirus HPyV6	0.0	4.954799999999999	0.0	0.0	0.0	1.884	0.2088	0.0	0.6144000000000001	0.0	0.0	0.45	0.0	3.2363999999999993	0.058800000000000005	0.32279999999999986	0.0	0.5748	1.6296000000000002	2.5116000025116008	0.0	22.8276	0.0	0.0	0.06	81.0012	0.0	0.35039999999999993	279.2616000000001	0.0	0.0	0.0803999999196	422.1708844221709	0.9011999990988	0.5892000000000001	0.0	0.156000000156	1.5996000000000004	57.9311999420688	55.41120000000001	6.710400000000001	0.6060000006060001	4.205999995794	69.62399993037602	0.8016000008016001	151.45319999999998	0.0	500.2512490005026	0.0	5.710799994289201	0.0	0.38160000000000005	0.3996000003996001	0.3264	1.6199999983799998
Polyomavirus HPyV7	545.0568	6339.871199999998	3774.9948	2800.3737211996263	1195.1316	7559.608799999999	4.410000000000001	4759.78608	562.2252	11583.968472416029	4967.060196000001	3936.909996	2254.7291999999998	1426.6631999999997	634.48086	17.221199999999996	5569.024242430975	1277.1025319999999	7892.358	2933.3870909333878	1232.7539999999997	55.765188	192.744036	543.670908	2151.5579999999995	226.27319999999995	9.634799999999997	5408.557199999999	33.22080000000002	2542.1145454578855	1067.8092000000001	3487.422344512577	66.71281206671281	1951.1230060488772	11731.193976	1704.092568	4520.546104520546	21.830400000000004	27.5351999724648	612.2832000000001	11280.928800000002	9039.987921039989	8670.327927329672	548.8511394511489	7.290000007290001	6112.3355999999985	897.2447999999999	116.1168122322336	5.343600000000001	595.5107394044894	10.1352	3524.3772	843.9373688439374	6344.628	8.5751999914248
Merkel Cell Polyomavirus	0.0	0.3515999999999999	0.0	0.15119999984879998	0.0	2.9148000000000005	0.14280000000000004	0.9491999999999999	1.4028000000000003	0.45959999954039993	32.96281200000001	176.353212	1.308	14.323199999999996	1.9980000000000002	0.0	3.50999999649	0.39239999999999997	1.6451999999999998	457.8852484578853	20.8344	0.0	75.958812	0.0	39.75239999999999	0.0	0.08399999999999999	2636.2692	0.2568000000000001	0.6671999993327999	0.5016000000000002	0.3107999996891999	16.6656000166656	0.0395999999604	0.4824	2.3939999999999997	1.626000001626	12.291600000000003	10.826399989173598	1249.1952	3.3240000000000007	417.4057204174058	1.0631999989368002	0.14879999985120002	60.61682406061683	36.0828	0.0	5.1588000103175995	0.14760000000000004	15.245999984754	54.234	0.0	1.2528000012528002	0.0	1.6439999983560003
Malasseziaceae	0.0	0.19679999999999992	2.5872	0.5363999994636	0.0	19.548	4.284000000000001	0.0756	0.0	10.736399989263601	24.841200000000004	0.0	7.4124	42.249599999999994	0.030000000000000006	21.721212	0.0	1.7664	16.8588	1.7064000017064003	1.2216	6.869999999999999	34.88161199999999	0.5928	0.16319999999999998	25.5612	2.1047999999999996	1.2624000000000002	36.05280000000001	9.1295999908704	0.0	1.4951999985047997	5.5068000055068	0.0	1.3416	0.0	1.5864000015864	0.0	0.49319999950680005	27.675600000000003	99.23160000000001	17.1432000171432	5.287199994712801	0.26639999973360007	5099.334329099335	354.24599999999987	0.0	167.23681233447363	38.53080000000001	0.9695999990304001	1.6476000000000004	32.40360000000001	14.4936000144936	2.0867999999999998	35.49958796450041
Corynebacteriaceae	0.0	0.0	0.0	0.6647999993351998	0.0	81.92399999999999	0.14280000000000004	0.0	0.0	0.0	0.0	0.0	0.0	19.945199999999996	0.114	0.2472	0.965999999034	0.0	0.16560000000000002	0.0	2.8115999999999994	0.2004	0.0	0.0	104.99399999999994	5.896800000000001	0.0	10.432799999999999	6.2676000000000025	0.10079999989920001	0.0	0.013199999986799998	16.8204000168204	0.3971999996028	0.5147999999999999	0.0	2.7576000027575995	0.5292000000000002	9.2543999907456	193.55640000000002	60.387600000000006	1.8552000018552006	12.14999998785	0.33479999966519997	11.274000011274	5.164799999999998	0.0	2.148000004296	0.0	66.31919993368082	0.4092	0.38759999999999994	0.0	0.0	5.3735999946263995
