#OTU ID	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_1_JG	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_3_MX	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_7_NMC	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
Propionibacteriaceae	0.0	0.0	0.0	0.0	1.3872	0.0	1.224000001224	509.1912960000001	3.8111999961888	8847.3408	0.8088000008088001	85.8084	0.0	0.0	0.0	10.798800000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	739.6632734793266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6153.5352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9844000000000004	0.0	0.0	0.0	38.89199996110799
Staphylococcus caprae or capitis	0.0	28.043999971955998	0.0	288.48366028848375	8.311200000000001	0.0	64.99321206499322	2.9208000000000007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.25280000000001	0.0	0.0	0.0	0.0	0.0	0.0	1.7615999999999998	133.302	0.0	0.0	0.0	0.0	335.48403566451594	0.0	0.0	0.0	0.0	2531.714657063429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.337600011337605	3.0167999969832002	0.0	0.0	35.7192	0.0	0.0	0.0	380.9471636190528
Staphylococcus epidermidis	60.61682406061683	3.50999999649	54.234	16.6656000166656	0.39239999999999997	0.45959999954039993	1.626000001626	32.96281200000001	10.826399989173598	39.75239999999999	417.4057204174058	1.6451999999999998	2.9148000000000005	1.308	36.0828	0.2568000000000001	0.0	0.15119999984879998	14.323199999999996	0.4824	1.2528000012528002	0.3515999999999999	0.0	1.4028000000000003	0.14280000000000004	0.0	176.353212	0.5016000000000002	0.3107999996891999	0.0395999999604	1.9980000000000002	75.958812	2.3939999999999997	5.1588000103175995	0.14760000000000004	2636.2692	3.3240000000000007	0.08399999999999999	0.0	15.245999984754	1249.1952	0.14879999985120002	0.0	0.0	0.0	20.8344	457.8852484578853	1.6439999983560003	0.0	0.0	0.0	12.291600000000003	0.9491999999999999	1.0631999989368002	0.6671999993327999
Staphylococcus hominis	64.18082406418083	3959.804000040195	60.903588	30.711612030711613	15.4116	124.91157587508843	1164.528229164528	999.6074040000002	487.50355151249636	0.43319999999999986	66.09002406609004	492.12000000000006	3150.7188	6.243599999999998	778.1351999999998	9954.518400000003	21.354000000000006	5.777999994222	15.493199999999995	164.06401200000002	846.6469688466472	139.17239999999998	9960.220188	2.0028	1768.6030200000002	12.655199999999999	1.8696	6.5712	324.9624356750375	5.733599994266401	2.0951999999999997	281.85006	14.913599999999999	3429.2643548585283	0.0	7.590000000000001	186.69120000000004	0.32279999999999986	0.042	28.654799971345206	440.8044	8.713199991286801	0.8388	1129.9080000000004	7.8576	66.49919999999999	12.711600012711603	736.4230552635768	41.738388	1667.7239999999997	2742.0672	41.02438800000001	157.192812	142.565987857434	2520.5253454794743
Other Staphylococci	2.8128000028128	0.92999999907	3.4308000000000005	71.15401207115401	0.9384	7.3847999926152	55.48441205548441	87.493212	4.814399995185599	12.916799999999999	80.07122408007125	0.0	95.5908	7.7136000000000005	64.02839999999999	1050.1884000000005	25.017600000000005	2.7167999972832	36.3336	2.5764	12.680400012680401	7.7315999999999985	16.275599999999997	0.0	16.156800000000004	2.3856	0.0	0.0	0.1871999998128	24.893999975105995	13.328399999999997	3.636	98.310012	484.30923696861845	0.15480000000000002	0.5304	83.66040000000001	0.5363999999999999	0.2124	134.31118786568882	552.2507999999999	47.116799952883206	3.4452000000000007	2.4456000000000007	0.1308	7.599599999999998	4.731600004731601	36.7031999632968	9.996000000000002	1.5228000000000004	70.86720000000001	15.7872	0.8675999999999999	8.050799991949201	11.7155999882844
Polyomavirus HPyV6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.1564122683128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Polyomavirus HPyV7	5099.334329099335	0.0	1.6476000000000004	5.5068000055068	1.7664	10.736399989263601	1.5864000015864	24.841200000000004	0.49319999950680005	0.16319999999999998	17.1432000171432	16.8588	19.548	7.4124	354.24599999999987	36.05280000000001	0.0	0.5363999994636	42.249599999999994	1.3416	14.4936000144936	0.19679999999999992	21.721212	0.0	4.284000000000001	0.5928	0.0	0.0	1.4951999985047997	0.0	0.030000000000000006	34.88161199999999	0.0	167.23681233447363	38.53080000000001	1.2624000000000002	99.23160000000001	2.1047999999999996	0.0	0.9695999990304001	27.675600000000003	0.26639999973360007	0.0	32.40360000000001	2.5872	1.2216	1.7064000017064003	35.49958796450041	6.869999999999999	2.0867999999999998	25.5612	0.0	0.0756	5.287199994712801	9.1295999908704
Merkel Cell Polyomavirus	12.403200012403197	2.6651999973348	0.6000000000000001	2.4024000024023997	0.0	2.9915999970084	0.0	0.0	9.898799990101201	2.5787999999999998	0.5652000005652	0.0	3.3816	1.2995999999999999	7.681199999999998	171.46560000000005	0.0	0.0	2.232	19.579199999999997	1.4820000014820003	0.08999999999999998	0.0	0.24600000000000005	0.15000000000000005	0.0	0.17160000000000003	0.0	0.0	0.0	0.0	0.1848	0.12119999999999999	23.0616000461232	0.020400000000000005	0.13799999999999998	235.09080000000006	0.0	0.0	940.1423030598579	1.8816000000000002	9.380399990619601	0.0	0.9792000000000001	0.054	3.1355999999999993	0.7656000007656002	1.5395999984603996	63.437988000000004	0.0	1.3968	220.858752	0.1848	0.19319999980680005	0.23999999976000003
Malasseziaceae	6741.286422741287	2435.0565575649434	11868.639611999999	11079.371819079375	10694.115468	269.5475517304524	6187.098042187098	5375.9230800000005	11387.931648612068	840.2027999999997	2375.4667103754673	3509.4144	1084.4292	9721.293599999999	4490.872799999999	429.7164000000002	10758.496799999999	9189.779078810221	10439.523599999999	79.658412	10279.107262279107	5507.631599999999	1982.2301999999995	11300.206800000002	10204.66458	11440.695491999999	7884.245591999999	10925.118	7850.044384149955	10016.91139398309	11347.89474	11410.74468	10180.16862	3866.918791733837	11955.802800000001	3934.8696000000004	43.97520000000001	11987.3172	11454.6888	10213.135369786865	8866.9416	11315.564460684436	4944.936000000001	7309.117200000001	8214.375600000001	10665.144	8574.963260574965	11169.604956830393	11799.164436	3983.7120000000004	8808.2328	11686.07886	7080.943908	3156.155684843844	6495.667745504331
Corynebacteriaceae	11.274000011274	0.965999999034	0.4092	16.8204000168204	0.0	0.0	2.7576000027575995	0.0	9.2543999907456	104.99399999999994	1.8552000018552006	0.16560000000000002	81.92399999999999	0.0	5.164799999999998	6.2676000000000025	0.0	0.6647999993351998	19.945199999999996	0.5147999999999999	0.0	0.0	0.2472	0.0	0.14280000000000004	0.0	0.0	0.0	0.013199999986799998	0.3971999996028	0.114	0.0	0.0	2.148000004296	0.0	10.432799999999999	60.387600000000006	0.0	0.0	66.31919993368082	193.55640000000002	0.33479999966519997	0.0	0.38759999999999994	0.0	2.8115999999999994	0.0	5.3735999946263995	0.2004	0.0	5.896800000000001	0.5292000000000002	0.0	12.14999998785	0.10079999989920001
