USI	Cosine	Matching Peaks	Status
mzspec:MSV000082712:20160223_S00021234_N:scan:83	0.98	6	NoID
mzspec:MSV000082712:20160223_TP_CS00000001-4_N:scan:79	0.97	6	NoID
mzspec:MSV000082712:20160223_S00021233_N:scan:257	0.97	6	NoID
mzspec:MSV000082712:20160223_S00021226_N:scan:273	0.97	6	NoID
mzspec:MSV000080960:NEG_HGH-B1:scan:4294967295	0.96	6	NoID
mzspec:MSV000080960:NEG_HGH-A2:scan:4294967295	0.96	6	NoID
mzspec:MSV000089316:JVC00455:scan:4294967295	0.96	6	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_08_B_neg:scan:1124	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BFC_S_01_C_neg:scan:2710	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_06_C_neg:scan:2123	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_12_C_neg:scan:1000	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_10_B_neg:scan:2623	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_08_C_neg:scan:2391	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_QC_A_18_neg:scan:339	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_05_B_neg:scan:2372	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_06_B_neg:scan:2163	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BFC_S_03_B_neg:scan:2400	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_04_B_neg:scan:1125	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_11_C_neg:scan:2241	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_01_B_neg:scan:831	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_08_A_neg:scan:896	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_04_C_neg:scan:2367	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_11_B_neg:scan:2576	0.96	5	NoID
mzspec:MSV000085657:Blank:scan:2786	0.96	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BFC_S_09_B_neg:scan:2534	0.96	5	NoID
mzspec:MSV000084186:Cohort2_Sample311:scan:2074	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_12_C_neg:scan:2590	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_01_B_neg:scan:2598	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_12_B_neg:scan:947	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_QC_A_09_neg:scan:2475	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_QC_A_12_neg:scan:2564	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_05_B_neg:scan:121	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_09_B_neg:scan:2425	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_11_B_neg:scan:966	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BFC_S_08_B_neg:scan:2576	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021225_N:scan:244	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_09_A_neg:scan:1276	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_01_C_neg:scan:1291	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_03_A_neg:scan:798	0.95	5	NoID
mzspec:MSV000082712:20160223_TP_CS00000001-2_N:scan:79	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BC_R_02_A_neg:scan:2254	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_05_C_neg:scan:2749	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_08_A_neg:scan:142	0.95	5	NoID
mzspec:MSV000088332:190225_AR_BS_14_Neg:scan:123	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_QC_A_06_neg:scan:2292	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_07_A_neg:scan:1194	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_02_C_neg:scan:453	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_02_A_neg:scan:769	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BF_S_01_B_neg:scan:2716	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BC_R_04_C_neg:scan:2551	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_06_A_neg:scan:1469	0.95	5	NoID
mzspec:MSV000082712:20160223_TP_CS00000001-1_N:scan:84	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021229_N:scan:83	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021230_N:scan:292	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021232_N:scan:90	0.95	5	NoID
mzspec:MSV000082712:20160223_TP_CS00000001-3_N:scan:78	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021228_N:scan:82	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_10_C_neg:scan:237	0.95	5	NoID
mzspec:MSV000082712:20160223_S00021227_N:scan:81	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_07_A_neg:scan:2386	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_05_A_neg:scan:411	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BC_W_03_B_neg:scan:2513	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BC_W_03_A_neg:scan:2391	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_04_B_neg:scan:370	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_05_C_neg:scan:1181	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_R_08_B_neg:scan:2367	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BFC_S_02_A_neg:scan:2407	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_W_01_A_neg:scan:2224	0.95	5	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_04_C_neg:scan:611	0.95	5	NoID
mzspec:MSV000083055:GNPS-NIST14-MATCHES:scan:1329	0.94	6	NoID
mzspec:MSV000083102:GNPS-NIST14-MATCHES:scan:1329	0.94	6	NoID
mzspec:MSV000082944:GNPS-NIST14-MATCHES:scan:1329	0.94	6	NoID
mzspec:MSV000089316:negJVC01310:scan:4294967295	0.94	6	NoID
mzspec:MSV000089316:negJVC01304:scan:4294967295	0.94	6	NoID
mzspec:MSV000080960:NEG_HGH-D1:scan:4294967295	0.94	6	NoID
mzspec:MSV000083989:180323_PMA_TS_BM_S_02_B_neg:scan:157	0.94	5	NoID
mzspec:MSV000084186:Cohort2_Sample139:scan:2090	0.94	5	NoID
mzspec:MSV000084186:Cohort2_Sample203:scan:2068	0.94	5	NoID
