file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC
mzspec:MSV000089765:B4	-0.0	mzspec:MSV000089765:B4:scan:3830	1	0.87	4	MSV000089765	NoID	MSV000089765/peak/B4.mzXML	MSV000089765/B4.mzXML	MSV000089765	Euglenaceae		1131320	automatic	Yes	No	No
mzspec:MSV000089764:B3	-0.0	mzspec:MSV000089764:B3:scan:3831	1	0.86	4	MSV000089764	NoID	MSV000089764/peak/B3.mzXML	MSV000089764/B3.mzXML	MSV000089764	Euglena viridis		3040	automatic	Yes	No	No
mzspec:MSV000089763:M1	-0.0	mzspec:MSV000089763:M1:scan:4386	1	0.85	4	MSV000089763	NoID	MSV000089763/peak/M1.mzXML	MSV000089763/M1.mzXML	MSV000089763	Eutreptiella gymnastica		73025	automatic	Yes	No	No
mzspec:MSV000089764:M3	-0.0	mzspec:MSV000089764:M3:scan:3963	1	0.85	4	MSV000089764	NoID	MSV000089764/peak/M3.mzXML	MSV000089764/M3.mzXML	MSV000089764	Euglena viridis		3040	automatic	Yes	No	No
mzspec:MSV000089763:B1	-0.0	mzspec:MSV000089763:B1:scan:4107	1	0.84	4	MSV000089763	NoID	MSV000089763/peak/B1.mzXML	MSV000089763/B1.mzXML	MSV000089763	Eutreptiella gymnastica		73025	automatic	Yes	No	No
mzspec:MSV000089760:M6	-0.0	mzspec:MSV000089760:M6:scan:4046	1	0.84	4	MSV000089760	NoID	MSV000089760/peak/M6.mzXML	MSV000089760/M6.mzXML	MSV000089760	Euglena gracilis		3039	automatic	Yes	No	No
mzspec:MSV000089761:M6	-0.0	mzspec:MSV000089761:M6:scan:4046	1	0.84	4	MSV000089761	NoID	MSV000089761/ccms_peak/M6.mzML	MSV000089761/M6.mzXML	MSV000089761	Euglena gracilis var. saccharophila		2071594	automatic	No	No	No
mzspec:MSV000089762:M2	-0.02	mzspec:MSV000089762:M2:scan:4042	1	0.81	4	MSV000089762	NoID	MSV000089762/peak/M2.mzXML	MSV000089762/M2.mzXML	MSV000089762	Euglena sanguinea		130315	automatic	Yes	No	No
mzspec:MSV000089766:B8AB	-0.0	mzspec:MSV000089766:B8AB:scan:2918	1	0.76	4	MSV000089766	NoID	MSV000089766/ccms_peak/B8AB.mzML	MSV000089766/B8AB.mzXML	MSV000089766	Cryptoglena skujai		161229	automatic	No	No	No
mzspec:MSV000089767:B9AB	-0.0	mzspec:MSV000089767:B9AB:scan:3608	1	0.73	4	MSV000089767	NoID	MSV000089767/ccms_peak/B9AB.mzML	MSV000089767/B9AB.mzXML	MSV000089767	Trachelomonas sp.		2576610	automatic	No	No	No
mzspec:MSV000089768:B12AB	-0.02	mzspec:MSV000089768:B12AB:scan:3633	1	0.73	4	MSV000089768	NoID	MSV000089768/ccms_peak/B12AB.mzML	MSV000089768/B12AB.mzXML	MSV000089768	Euglena mutabilis		38275	automatic	No	No	No
mzspec:MSV000089767:B9AM	-0.0	mzspec:MSV000089767:B9AM:scan:3316	1	0.73	4	MSV000089767	NoID	MSV000089767/ccms_peak/B9AM.mzML	MSV000089767/B9AM.mzXML	MSV000089767	Trachelomonas sp.		2576610	automatic	No	No	No
mzspec:MSV000089766:B8AM	-0.0	mzspec:MSV000089766:B8AM:scan:3593	1	0.72	4	MSV000089766	NoID	MSV000089766/ccms_peak/B8AM.mzML	MSV000089766/B8AM.mzXML	MSV000089766	Cryptoglena skujai		161229	automatic	No	No	No
