USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998341	CCMSLIB00009998341	0.95	4	Suspect related to Spectral Match to PyroGlu-Tyr from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z -15.995 (putative explanation: Ser->Ala substitution|Tyr->Phe substitution|reduction; atomic difference: -1O|-1O|-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009982093	CCMSLIB00009982093	0.95	4	Suspect related to Ser-Phe (predicted molecular formula: C14H16N2O4) with delta m/z 24.0 (putative explanation: unspecified; atomic difference: 2C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948331	CCMSLIB00009948331	0.94	4	Suspect related to Glu-Phe (predicted molecular formula: C14H16N2O4) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009953806	CCMSLIB00009953806	0.93	5	Suspect related to Massbank:EA277010 Aspartame|3-amino-4-[(1-benzyl-2-keto-2-methoxy-ethyl)amino]-4-keto-butyric acid (predicted molecular formula: C14H16N2O4) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980858	CCMSLIB00009980858	0.93	4	Suspect related to PyroGlu-Tyr (predicted molecular formula: unknown) with delta m/z -15.995 (putative explanation: Ser->Ala substitution|Tyr->Phe substitution|reduction; atomic difference: -1O|-1O|-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009993353	CCMSLIB00009993353	0.92	5	Suspect related to Spectral Match to Glu-Phe from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998996	CCMSLIB00009998996	0.92	4	Suspect related to Spectral Match to Thr-Phe from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z 9.984 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009993324	CCMSLIB00009993324	0.92	5	Suspect related to Spectral Match to Glu Phe from METLIN (predicted molecular formula: C14H16N2O4) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003137591	CCMSLIB00003137591	0.88	4	Spectral Match to PyroGlu-Phe from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980869	CCMSLIB00009980869	0.88	4	Suspect related to PyroGlu-Val (predicted molecular formula: unknown) with delta m/z 48.0 (putative explanation: Val->Phe substitution; atomic difference: 4C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998510	CCMSLIB00009998510	0.87	4	Suspect related to Spectral Match to Ser-Phe from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z 24.0 (putative explanation: unspecified; atomic difference: 2C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009997599	CCMSLIB00009997599	0.85	5	Suspect related to Spectral Match to Phe-Ile from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z -2.052 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009982621	CCMSLIB00009982621	0.84	4	Suspect related to Spectral Match to .alpha.-L-Asp-L-Phe from NIST14 (predicted molecular formula: unknown) with delta m/z -3.995 (putative explanation: Pyro-Glu from E + Methylation|Thr->Pro substitution; atomic difference: 1C,-1O|1C,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009964517	CCMSLIB00009964517	0.83	4	Suspect related to Met-Phe (predicted molecular formula: unknown) with delta m/z -20.006 (putative explanation: Defluorination adjacent to O; atomic difference: -1H,-1F)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998285	CCMSLIB00009998285	0.82	4	Suspect related to Spectral Match to PyroGlu-Ile from NIST14 (predicted molecular formula: C9H16N4O6) with delta m/z 33.985 (putative explanation: Leu/Ile->Phe substitution; atomic difference: 3C,-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009997633	CCMSLIB00009997633	0.8	4	Suspect related to Spectral Match to Phe-Leu from NIST14 (predicted molecular formula: C14H16N2O4) with delta m/z -2.052 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009994872	CCMSLIB00009994872	0.77	4	Suspect related to Spectral Match to Leu-Phe from NIST14 (predicted molecular formula: C11H20N2O4S) with delta m/z -2.052 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
