file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC
mzspec:MSV000081045:OMICS_MCL002_delta4b_0HRS_B_LIPID_008_NEG_24Mar16_Legolas_Mclass	-0.0	mzspec:MSV000081045:OMICS_MCL002_delta4b_0HRS_B_LIPID_008_NEG_24Mar16_Legolas_Mclass:scan:1774	1	0.99	4	MSV000081045	NoID	MSV000081045/ccms_peak/Peak_List_Files/OMICS_MCL002_delta4b_0HRS_B_LIPID_008_NEG_24Mar16_Legolas_Mclass.mzML	MSV000081045/OMICS_MCL002_delta4b_0HRS_B_LIPID_008_NEG_24Mar16_Legolas_Mclass.mzML	MSV000081045	Homo sapiens		9606	automatic	No	No	No
mzspec:MSV000081049:OMICS_ICL104_Cal04_7hr_4_PLipid_028_NEG_150mm_16Feb16_Polaroid_HSST3-02	-0.0	mzspec:MSV000081049:OMICS_ICL104_Cal04_7hr_4_PLipid_028_NEG_150mm_16Feb16_Polaroid_HSST3-02:scan:1604	1	0.99	4	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_7hr_4_PLipid_028_NEG_150mm_16Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Cal04_7hr_4_PLipid_028_NEG_150mm_16Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No
mzspec:MSV000083835:16 SK on SA EthAc-neg	-0.0	mzspec:MSV000083835:16 SK on SA EthAc-neg:scan:4527	1	0.98	4	MSV000083835	NoID	MSV000083835/updates/2019-05-21_lfnothias_ad043d61/peak/Ethyl Acetate/SK/16 SK on SA EthAc-neg.mzXML	MSV000083835/16 SK on SA EthAc-neg.mzXML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000087630:18+SK+on+TSB+EthAc-neg	-0.0	mzspec:MSV000087630:18+SK+on+TSB+EthAc-neg:scan:4448	1	0.98	4	MSV000087630	NoID	MSV000087630/ccms_peak/18+SK+on+TSB+EthAc-neg.mzML	MSV000087630/18+SK+on+TSB+EthAc-neg.mzML	MSV000087630	Streptomyces katsurahamanus T-272	Streptomyces katsurahamanus	2577098	maual	No	No	No
mzspec:MSV000083835:46	-0.0	mzspec:MSV000083835:46:scan:4360	1	0.98	4	MSV000083835	NoID	MSV000083835/peak/MeOH_High_res_mzML/46.mzML	MSV000083835/46.mzML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000083835:54	-0.0	mzspec:MSV000083835:54:scan:3785	1	0.98	4	MSV000083835	NoID	MSV000083835/peak/MeOH_High_res_mzML/54.mzML	MSV000083835/54.mzML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000083835:16	-0.0	mzspec:MSV000083835:16:scan:4527	1	0.98	4	MSV000083835	NoID	MSV000083835/peak/EtOAc_Neg_mzML/16.mzML	MSV000083835/16.mzML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000083835:58	-0.0	mzspec:MSV000083835:58:scan:3876	1	0.98	4	MSV000083835	NoID	MSV000083835/peak/MeOH_High_res_mzML/58.mzML	MSV000083835/58.mzML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000083835:53	-0.0	mzspec:MSV000083835:53:scan:3856	1	0.98	4	MSV000083835	NoID	MSV000083835/peak/MeOH_High_res_mzML/53.mzML	MSV000083835/53.mzML	MSV000083835	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000085071:P2_D6_BD6_01_53242	-0.0	mzspec:MSV000085071:P2_D6_BD6_01_53242:scan:1112	1	0.98	4	MSV000085071	NoID	MSV000085071/peak/Mushrooms_NEG_P2_mzXML/P2_D6_BD6_01_53242.mzXML	MSV000085071/P2_D6_BD6_01_53242.mzXML	MSV000085071	Gomphus clavatus		80588	automatic	Yes	No	No
