file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC
mzspec:MSV000083835:QC_180804145516	-0.0	mzspec:MSV000083835:QC_180804145516:scan:181	1	1.0	4	MSV000083835	NoID	MSV000083835/peak/EtOAc_Pos_mzML/QC_180804145516.mzML	MSV000083835/QC_180804145516.mzML	MSV000083835	Streptomyces		qc	automatic	No	No	Yes
mzspec:MSV000086550:PLT1_C1_BC1_01_57448	0.02	mzspec:MSV000086550:PLT1_C1_BC1_01_57448:scan:51	1	1.0	4	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_1_mzXML/PLT1_C1_BC1_01_57448.mzML	MSV000086550/PLT1_C1_BC1_01_57448.mzML	MSV000086550	Bacteria		2	automatic	No	No	No
mzspec:MSV000083396:H_Fungal_filtrate_1week_P1C2_spike_in_Strepto	-0.0	mzspec:MSV000083396:H_Fungal_filtrate_1week_P1C2_spike_in_Strepto:scan:119	1	1.0	4	MSV000083396	NoID	MSV000083396/peak/1901_fungal_symbiont_confirmation_inclusion_list_mzML/H_Fungal_filtrate_1week_P1C2_spike_in_Strepto.mzML	MSV000083396/H_Fungal_filtrate_1week_P1C2_spike_in_Strepto.mzML	MSV000083396	Fungi		4751	automatic	No	No	No
mzspec:MSV000083396:H_Fungal_filtrate_1week_P1C2_for_spike_in_comparison	-0.0	mzspec:MSV000083396:H_Fungal_filtrate_1week_P1C2_for_spike_in_comparison:scan:120	1	1.0	4	MSV000083396	NoID	MSV000083396/peak/1901_fungal_symbiont_confirmation_inclusion_list_mzML/H_Fungal_filtrate_1week_P1C2_for_spike_in_comparison.mzML	MSV000083396/H_Fungal_filtrate_1week_P1C2_for_spike_in_comparison.mzML	MSV000083396	Fungi		4751	automatic	No	No	No
mzspec:MSV000084595:2_1_clavu_M_SAMPLE_WT_5-Media_7_A2	-0.0	mzspec:MSV000084595:2_1_clavu_M_SAMPLE_WT_5-Media_7_A2:scan:164	1	1.0	4	MSV000084595	NoID	MSV000084595/ccms_peak/Positive_RAW/2_1_clavu_M_SAMPLE_WT_5-Media_7_A2.mzML	MSV000084595/2_1_clavu_M_SAMPLE_WT_5-Media_7_A2.mzML	MSV000084595	Streptomyces		1883	automatic	No	No	No
mzspec:MSV000080899:SET1_COM1_ARN5_RE10_01_9232	-0.01	mzspec:MSV000080899:SET1_COM1_ARN5_RE10_01_9232:scan:83	1	1.0	4	MSV000080899	NoID	MSV000080899/ccms_peak/Data_mzXML/SET1_COM1_ARN5_RE10_01_9232.mzXML	MSV000080899/SET1_COM1_ARN5_RE10_01_9232.mzXML	MSV000080899	Staphylococcus aureus		1280	automatic	No	No	No
mzspec:MSV000080899:SET1_COM1_ARN7_RF10_01_9239	-0.01	mzspec:MSV000080899:SET1_COM1_ARN7_RF10_01_9239:scan:84	1	1.0	4	MSV000080899	NoID	MSV000080899/ccms_peak/Data_mzXML/SET1_COM1_ARN7_RF10_01_9239.mzXML	MSV000080899/SET1_COM1_ARN7_RF10_01_9239.mzXML	MSV000080899	Staphylococcus aureus		1280	automatic	No	No	No
mzspec:MSV000086550:PLT9_D9_BD9_01_58402	0.02	mzspec:MSV000086550:PLT9_D9_BD9_01_58402:scan:51	1	1.0	4	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_9_mzXML/PLT9_D9_BD9_01_58402.mzXML	MSV000086550/PLT9_D9_BD9_01_58402.mzXML	MSV000086550	Staphylococcus sp. AF070.008	Staphylococcus sp.	29387	manual	Yes	No	No
mzspec:MSV000085071:P1_C1_GC1_01_52855	0.02	mzspec:MSV000085071:P1_C1_GC1_01_52855:scan:68	1	1.0	4	MSV000085071	NoID	MSV000085071/peak/Mushrooms_POS_P1_mzXML/P1_C1_GC1_01_52855.mzXML	MSV000085071/P1_C1_GC1_01_52855.mzXML	MSV000085071	Atheniella adonia	Atheniella adonis	2715406	manual	Yes	No	No
mzspec:MSV000085071:P1_D7_GD7_01_52874	0.02	mzspec:MSV000085071:P1_D7_GD7_01_52874:scan:65	1	1.0	4	MSV000085071	NoID	MSV000085071/peak/Mushrooms_POS_P1_mzXML/P1_D7_GD7_01_52874.mzXML	MSV000085071/P1_D7_GD7_01_52874.mzXML	MSV000085071	Clitocybe nuda		492052	automatic	Yes	No	No
