USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120216	CCMSLIB00006120216	0.94	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120210	CCMSLIB00006120210	0.94	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120212	CCMSLIB00006120212	0.93	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120208	CCMSLIB00006120208	0.93	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120214	CCMSLIB00006120214	0.93	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005756381	CCMSLIB00005756381	0.92	5	Massbank:PT109780 beta-Ala-His|L-Carnosine|L-Ignotine|(2S)-2-(3-aminopropanoylamino)-3-(3H-imidazol-4-yl)propanoic acid|beta-Alanyl-L-histidine	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120224	CCMSLIB00006120224	0.92	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000221519	CCMSLIB00000221519	0.92	5	ReSpect:PT109780 L-Carnosine|beta-Ala-His|beta-Alanyl-L-histidine|L-Ignotine|(2S)-2-(3-aminopropanoylamino)-3-(3H-imidazol-4-yl)propanoic acid	[M+H]	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120232	CCMSLIB00006120232	0.92	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120229	CCMSLIB00006120229	0.92	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120228	CCMSLIB00006120228	0.92	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120226	CCMSLIB00006120226	0.92	5	L-Carnosine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000223215	CCMSLIB00000223215	0.92	5	Massbank:PR100391 L-Carnosine|beta-Ala-His|beta-Alanyl-L-histidine|L-Ignotine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005720341	CCMSLIB00005720341	0.89	5	CARNOSINE	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005883782	CCMSLIB00005883782	0.88	5	L-CARNOSINE - 60.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005883783	CCMSLIB00005883783	0.81	4	L-CARNOSINE - 70.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004716690	CCMSLIB00004716690	0.76	4	Carnosine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004716691	CCMSLIB00004716691	0.75	4	Carnosine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006680950	CCMSLIB00006680950	0.74	4	CARNOSINE	M+H	1
