USI	Cosine	Matching Peaks	Status
mzspec:MSV000084314:MSV000088823:scan:382606	0.81	4	NoID
mzspec:MSV000083388:1_n_163032_03242016:scan:1988	0.78	5	NoID
mzspec:MSV000087322:DOM_Interlab-LCMS_Lab6_PPL_Neg_MS2_rep1:scan:3030	0.78	4	NoID
mzspec:MSV000088823:DOM_Interlab-LCMS_Lab6_PPL_Neg_MS2_rep1:scan:3030	0.78	4	NoID
mzspec:MSV000087322:DOM_Interlab-LCMS_Lab6_QC_Neg_MS2_rep1:scan:3209	0.78	4	NoID
mzspec:MSV000088823:DOM_Interlab-LCMS_Lab6_QC_Neg_MS2_rep1:scan:3209	0.78	4	NoID
mzspec:MSV000085870:PH697111_neg_IDA:scan:5817	0.76	5	NoID
mzspec:MSV000083605:DWDB_n_4_4_2:scan:1967	0.76	4	NoID
mzspec:MSV000083605:DWDC_n_1_1_3:scan:1950	0.76	4	NoID
mzspec:MSV000083105:rime5941_181101_neg_Cotton_JEN2_faeces_1_5ul:scan:9716	0.76	4	NoID
mzspec:MSV000083605:DWDB_n_BLK_50MeOH_03_2:scan:1982	0.73	4	NoID
mzspec:MSV000083105:rime5941_181101_neg_Cotton_JEN2_gutcontent_5_5ul:scan:9993	0.73	4	NoID
mzspec:MSV000083605:DWDC_n_4_3_3:scan:1971	0.73	4	NoID
mzspec:MSV000085870:PH697187_neg_IDA:scan:4528	0.72	4	NoID
mzspec:MSV000085870:PH697129_neg_SWATH:scan:5486	0.72	4	NoID
mzspec:MSV000083605:DWDA_n_10_2_1:scan:1954	0.72	4	NoID
mzspec:MSV000083605:DWDA_n_4_6_1:scan:2006	0.71	4	NoID
mzspec:MSV000083605:DWDC_n_5_4_3:scan:1969	0.7	4	NoID
mzspec:MSV000083605:DWDB_n_11_3_2:scan:1984	0.7	4	NoID
