USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009954290	CCMSLIB00009954290	0.87	12	Suspect related to Massbank:FFF00163 Campesterol (predicted molecular formula: unknown) with delta m/z -14.052 (putative explanation: Lys->Asn substitution; atomic difference: -2C,-6H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003138167	CCMSLIB00003138167	0.87	12	Spectral Match to Cholesterol from NIST14	M+H-H2O	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009945940	CCMSLIB00009945940	0.86	11	Suspect related to Desmosterol (predicted molecular formula: unknown) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009937538	CCMSLIB00009937538	0.85	11	Suspect related to 4-Cholestenone (predicted molecular formula: C27H46O) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009923369	CCMSLIB00009923369	0.84	11	Suspect related to (4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid (predicted molecular formula: unknown) with delta m/z 12.073 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010005757	CCMSLIB00010005757	0.84	11	Suspect related to methyl (4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate (predicted molecular formula: unknown) with delta m/z -1.942 (putative explanation: Asp->Leu/Ile substitution; atomic difference: 2C,6H,-2O)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009924417	CCMSLIB00009924417	0.81	10	Suspect related to (R)-4-((3R,5R,6R,8S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid (predicted molecular formula: unknown) with delta m/z 12.073 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010002577	CCMSLIB00010002577	0.8	10	Suspect related to URSODEOXYCHOLATE (predicted molecular formula: C27H48O2) with delta m/z 12.073 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009924085	CCMSLIB00009924085	0.79	10	Suspect related to (R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid (predicted molecular formula: C27H48O2) with delta m/z 12.073 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009923051	CCMSLIB00009923051	0.79	10	Suspect related to (4R)-4-((3R,5R,7R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid (predicted molecular formula: C27H48O2) with delta m/z 12.073 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009939815	CCMSLIB00009939815	0.78	10	Suspect related to 8(9)-Dehydrocholesterol (predicted molecular formula: C27H46O) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926005	CCMSLIB00009926005	0.78	10	Suspect related to .alpha.-Hyodeoxycholic acid methyl ester (predicted molecular formula: C27H48O2) with delta m/z -1.942 (putative explanation: Asp->Leu/Ile substitution; atomic difference: 2C,6H,-2O)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009999754	CCMSLIB00009999754	0.77	10	Suspect related to Spectral Match to Zymosterol from NIST14 (predicted molecular formula: C22H46N2O3) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003137717	CCMSLIB00003137717	0.76	11	Spectral Match to Cholesterol from NIST14	M+H-H2O	1
