USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005885081	CCMSLIB00005885081	1.0	6	Citruline - 40.00 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000221670	CCMSLIB00000221670	1.0	5	ReSpect:PT111890 L-Citrulline|Cit|Orn(carbamoyl)|N5-Carbamoyl-L-ornithine|delta-Ureidonorvaline|L-2-Amino-5-ureidovaleric acid|(S)-2-Amino-5-ureidopentanoic acid|Sitrulline|(2S)-2-amino-5-(carbamoylamino)pentanoic aci	[M+H]	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005759352	CCMSLIB00005759352	1.0	5	Massbank:PT111890 delta-Ureidonorvaline|L-2-Amino-5-ureidovaleric acid|N5-Carbamoyl-L-ornithine|Sitrulline|L-Citrulline|Orn(carbamoyl)|Cit|(S)-2-Amino-5-ureidopentanoic acid|(2S)-2-amino-5-(carbamoylamino)pentanoic aci	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000223270	CCMSLIB00000223270	1.0	5	Massbank:PR100448 L-Citrulline|Cit|Orn(carbamoyl)|N5-Carbamoyl-L-ornithine|delta-Ureidonorvaline|L-2-Amino-5-ureidovaleric acid|(S)-2-Amino-5-ureidopentanoic acid|Sitrulline	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120774	CCMSLIB00006120774	1.0	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005885082	CCMSLIB00005885082	1.0	6	Citruline - 50.00 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120778	CCMSLIB00006120778	1.0	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120779	CCMSLIB00006120779	1.0	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004691570	CCMSLIB00004691570	1.0	5	L-citrulline	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120772	CCMSLIB00006120772	1.0	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120776	CCMSLIB00006120776	1.0	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120784	CCMSLIB00006120784	0.99	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120783	CCMSLIB00006120783	0.99	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120781	CCMSLIB00006120781	0.99	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006681690	CCMSLIB00006681690	0.99	5	CITRULLINE	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120788	CCMSLIB00006120788	0.99	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000221744	CCMSLIB00000221744	0.99	5	Massbank:PB000434 Citrulline|2-amino-5-(carbamoylamino)pentanoic acid	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126497	CCMSLIB00010126497	0.98	5	L-citrulline CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102882	CCMSLIB00010102882	0.98	5	L-citrulline CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126517	CCMSLIB00010126517	0.98	5	L-citrulline CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102902	CCMSLIB00010102902	0.98	5	L-citrulline CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005885083	CCMSLIB00005885083	0.98	5	Citruline - 60.00 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006120786	CCMSLIB00006120786	0.98	5	L-Citrulline - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004691569	CCMSLIB00004691569	0.97	5	L-citrulline	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006682566	CCMSLIB00006682566	0.97	5	CITRULLINE	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679139	CCMSLIB00006679139	0.97	5	CITRULLINE	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679220	CCMSLIB00006679220	0.97	5	CITRULLINE	M+H	1
