USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006678557	CCMSLIB00006678557	0.99	5	HISTIDINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102760	CCMSLIB00010102760	0.99	5	L-histidine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126375	CCMSLIB00010126375	0.99	5	L-histidine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000578286	CCMSLIB00000578286	0.98	5	L-HISTIDINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000578200	CCMSLIB00000578200	0.98	5	L-HISTIDINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122095	CCMSLIB00006122095	0.96	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005758252	CCMSLIB00005758252	0.95	4	Massbank:PT200510 (2S)-2-amino-3-(3H-imidazol-4-yl)propanoic acid|L-Histidine|Glyoxaline-5-alanine|L-alpha-Amino-beta-imidazolepropionic Acid|(S)-2-Amino-3-(4-imidazolyl)propionic acid|L-His	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000221760	CCMSLIB00000221760	0.95	4	ReSpect:PT200510 L-Histidine|L-His|L-alpha-Amino-beta-imidazolepropionic Acid|Glyoxaline-5-alanine|(S)-2-Amino-3-(4-imidazolyl)propionic acid|(2S)-2-amino-3-(3H-imidazol-4-yl)propanoic acid	[M+H]	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005740156	CCMSLIB00005740156	0.95	4	Massbank:PR100495 L-Histidine|L-His|L-alpha-Amino-beta-imidazolepropionic Acid|Glyoxaline-5-alanine|(S)-2-Amino-3-(4-imidazolyl)propionic acid	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122104	CCMSLIB00006122104	0.91	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122099	CCMSLIB00006122099	0.91	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122109	CCMSLIB00006122109	0.91	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122106	CCMSLIB00006122106	0.91	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006122102	CCMSLIB00006122102	0.9	5	L-Histidine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006683049	CCMSLIB00006683049	0.87	4	HISTIDINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006683724	CCMSLIB00006683724	0.86	5	HISTIDINE	M-H	1
