USI	Cosine	Matching Peaks	Status
mzspec:MSV000082729:20160307_S00021657_P:scan:1527	0.82	6	NoID
mzspec:MSV000082703:Inj27_PoolDuod_CSHHonneffer_MSMSpos:scan:4294967295	0.82	5	NoID
mzspec:MSV000084314:MSV000082703:scan:11525	0.79	5	NoID
mzspec:MSV000082732:20161004_S00025588_P:scan:1354	0.77	6	NoID
mzspec:MSV000082732:20161004_S00025595_P:scan:1329	0.76	6	NoID
mzspec:MSV000082667:CF318_3_24_17_GH7_01_3122:scan:4792	0.76	5	NoID
mzspec:MSV000086178:7:scan:3178	0.75	4	NoID
mzspec:MSV000082493:DM000077388_RC10_01_29324:scan:2508	0.74	6	NoID
mzspec:MSV000084314:MSV000085829:scan:36440	0.74	5	NoID
mzspec:MSV000086178:8:scan:3177	0.74	4	NoID
mzspec:MSV000086178:15:scan:3195	0.74	4	NoID
mzspec:MSV000079134:F20_4_RE1_01_4036:scan:5396	0.74	4	NoID
mzspec:MSV000082709:S00019672_01:scan:1213	0.73	6	NoID
mzspec:MSV000082744:20160328_S00021366_P:scan:1302	0.73	6	NoID
mzspec:MSV000086178:bedding:scan:3105	0.73	4	NoID
mzspec:MSV000086178:9:scan:3179	0.73	4	NoID
mzspec:MSV000082374:TW_AM_002_BE7_01_29883:scan:2842	0.72	6	NoID
mzspec:MSV000085829:caco_P5_21B:scan:4294967295	0.72	5	NoID
mzspec:MSV000084314:MSV000079777:scan:362931	0.72	5	NoID
mzspec:MSV000085829:caco_P5_14B:scan:4294967295	0.72	5	NoID
mzspec:MSV000086178:3:scan:3188	0.72	4	NoID
mzspec:MSV000086178:2:scan:3126	0.72	4	NoID
mzspec:MSV000084314:MSV000081675:scan:9359	0.72	4	NoID
mzspec:MSV000080918:SS119_RC2_01_7445:scan:5112	0.71	6	NoID
mzspec:MSV000080558:SS119_RC2_01_7445:scan:5112	0.71	6	NoID
mzspec:MSV000080918:SS222_RC12_01_7566:scan:5111	0.71	6	NoID
mzspec:MSV000080558:SS222_RC12_01_7566:scan:5111	0.71	6	NoID
mzspec:MSV000086178:14:scan:3221	0.71	4	NoID
mzspec:MSV000086178:10:scan:3214	0.71	4	NoID
mzspec:MSV000084314:MSV000084734:scan:68239	0.71	4	NoID
mzspec:MSV000084314:MSV000081748:scan:6401	0.71	4	NoID
mzspec:MSV000081045:OMICS_MCL002_MOCK_24HRS_E_LIPID_067_POS_11Mar16_Legolas_Mclass:scan:4643	0.71	4	NoID
mzspec:MSV000082732:20161004_S00025607_P:scan:1366	0.7	6	NoID
mzspec:MSV000082744:20160411_TP_CS00000001-40_P:scan:1447	0.7	6	NoID
mzspec:MSV000082744:20160323_S00021413_P:scan:1348	0.7	6	NoID
mzspec:MSV000082692:S00015866_Positive_01:scan:1511	0.7	6	NoID
mzspec:MSV000085829:caco_P5_14C:scan:4294967295	0.7	5	NoID
mzspec:MSV000084900:18NAVY27_v2_snk_1_GH7_01_39524:scan:2138	0.7	4	NoID
mzspec:MSV000083760:18NAVY27_v2_snk_1_GH7_01_39524:scan:2138	0.7	4	NoID
