USI	Cosine	Matching Peaks	Status
mzspec:MSV000083462:11712.SUBJECT48.STOOL.1250:scan:72	1.0	6	NoID
mzspec:MSV000083689:G85003_RF6_01_35155:scan:64	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_326:scan:187	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT41.STOOL.977:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT4.STOOL.863:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT4.STOOL.861:scan:66	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT46.STOOL.1243:scan:64	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS025_FragPos:scan:4786	1.0	6	NoID
mzspec:MSV000086381:BF10_BF10_02_57400:scan:59	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT4.STOOL.862:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT27.STOOL.581:scan:65	1.0	6	NoID
mzspec:MSV000084314:MSV000083462:scan:2408	1.0	6	NoID
mzspec:MSV000085480:ENTP_75:scan:177	1.0	6	NoID
mzspec:MSV000082969:G84935_BD6_01_36608:scan:60	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS037_FragPos:scan:4202	1.0	6	NoID
mzspec:MSV000085480:ENTP_74:scan:183	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT31.STOOL.710:scan:69	1.0	6	NoID
mzspec:MSV000085480:ENTP_51:scan:183	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS085_FragPos:scan:4710	1.0	6	NoID
mzspec:MSV000081456:69Tb4_170805023929:scan:1098	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_314:scan:166	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT9.STOOL.1207:scan:69	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_335:scan:191	1.0	6	NoID
mzspec:MSV000081456:69Tb2_170805021037:scan:911	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT60.STOOL.1341:scan:71	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT56.STOOL.1272:scan:68	1.0	6	NoID
mzspec:MSV000081456:69Tb5_170805025355:scan:1119	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS035_FragPos:scan:4740	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS068_FragPos:scan:4789	1.0	6	NoID
mzspec:MSV000084314:MSV000086348:scan:85	1.0	6	NoID
mzspec:MSV000086246:FS_42_5X_GD10_01_59200:scan:53	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_327:scan:193	1.0	6	NoID
mzspec:MSV000081456:69Tb3_170805022502:scan:1082	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT9.STOOL.1206:scan:69	1.0	6	NoID
mzspec:MSV000084099:G84935_BD6_01_36608:scan:60	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_323:scan:183	1.0	6	NoID
mzspec:MSV000083522:SD_CU18_324:scan:190	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT31.STOOL.1230:scan:70	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT13.STOOL.114:scan:76	1.0	6	NoID
mzspec:MSV000085480:ENTP_42:scan:174	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT2.STOOL.387:scan:78	1.0	6	NoID
mzspec:MSV000081477:C96_GH2_01_840:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT27.STOOL.582:scan:68	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT24.STOOL.521:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT54.STOOL.1266:scan:70	1.0	6	NoID
mzspec:MSV000084314:MSV000082633:scan:242	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT36.STOOL.782:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT19.STOOL.364:scan:70	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT40.STOOL.924:scan:68	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT40.STOOL.921:scan:66	1.0	6	NoID
mzspec:MSV000084314:MSV000083264:scan:654	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT17.STOOL.246:scan:72	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT39.STOOL.837:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT28.STOOL.1237.B:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT40.STOOL.923:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT9.STOOL.1208:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT12.STOOL.94:scan:69	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT23.STOOL.498:scan:70	1.0	6	NoID
mzspec:MSV000083462:11712.SUBJECT41.STOOL.976:scan:69	1.0	6	NoID
mzspec:MSV000088255:Urine_NGS143_FragPos:scan:4450	1.0	6	NoID
mzspec:MSV000085480:ETNP18_Blank_P_197:scan:162	0.99	6	NoID
mzspec:MSV000085847:43_D8_M_C1_MSMS_Pos:scan:4294967295	0.99	6	NoID
mzspec:MSV000083462:11712.SUBJECT59.STOOL.1344:scan:71	0.99	6	NoID
mzspec:MSV000086676:iterativeincluision_C3-list5:scan:155	0.99	6	NoID
mzspec:MSV000086676:iterativeincluision_C1-list1:scan:179	0.99	6	NoID
mzspec:MSV000086676:iterativeincluision_C1-list5:scan:196	0.99	6	NoID
mzspec:MSV000086676:iterativeincluision_C3-list1:scan:136	0.99	6	NoID
mzspec:MSV000088255:Urine_NGS002_FragPos:scan:4321	0.99	6	NoID
